Variable,LakeEnsemblR,GLM,GOTM,Simstrat,FLake
time,datetime,Date,datetime,,7
wind_speed,Ten_Meter_Elevation_Wind_Speed_meterPerSecond,WindSpeed,Uwind_meterPerSecond,Uwind_meterPerSecond,5
wind_direction,Ten_Meter_Elevation_Wind_Direction_degree,,Vwind_meterPerSecond,Vwind_meterPerSecond,NA
air_temperature,Air_Temperature_celsius,AirTemp,Air_Temperature_celsius,Air_Temperature_celsius,3
dewpoint_temperature,Dewpoint_Temperature_celsius,,,,NA
relative_humidity,Air_Temperature_celsius,RelHum,Air_Temperature_celsius,,NA
solar_radiation,Shortwave_Radiation_Downwelling_wattPerMeterSquared,ShortWave,Shortwave_Radiation_Downwelling_wattPerMeterSquared,Shortwave_Radiation_Downwelling_wattPerMeterSquared,2
longwave_radiation,Longwave_Radiation_Downwelling_wattPerMeterSquared,LongWave,,Longwave_Radiation_Downwelling_wattPerMeterSquared,NA
surface_pressure,Surface_Level_Barometric_Pressure_pascal,,Surface_Level_Barometric_Pressure_pascal,,NA
precipitation,Precipitation_meterPerSecond,Rain,Precipitation_meterPerSecond,Precipitation_meterPerHour,NA
snow,Snowfall_meterPerDay,Snow,,,NA
vapour_pressure,Vapor_Pressure_milliBar,,,Vapor_Pressure_milliBar,4
cloud_cover,Air_Temperature_celsius,Cloud,Air_Temperature_celsius,,6